,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
300,1609463048000,15m,Up,3,3,Close,18054.91,9279.66,1769.74,-910.35,21,61892.46,291.71%
168,1640999048000,15m,Any,1,3,Close,17959.12,9703.92,2430.03,-250.34,34,52095.66,344.73%
278,1640999048000,1h,Down,3,5,Close,17939.07,1352.46,6131.84,-717.03,29,65456.12,274.06%
350,1609463048000,15m,Down,3,5,Close,17619.38,10632.4,6154.95,-1482.12,29,31900.85,552.32%
174,1640999048000,15m,Any,2,3,Close,17403.55,9700.62,2916.06,-573.39,44,66877.97,260.23%
160,1640999048000,15m,Up,3,7,Close,17127.35,4513.28,3588.15,-504.21,44,50921.96,336.35%
294,1609463048000,15m,Up,2,3,Close,17054.89,9280.16,1461.84,-345.77,17,42042.9,405.65%
427,1609463048000,1h,Down,5,3,High,16619.82,2632.59,6394.94,-1845.11,18,20048.24,828.99%
252,1640999048000,1h,Any,3,3,Close,16484.2,2534.05,3622.79,-1311.36,40,87748.44,187.86%
408,1609463048000,1h,Down,1,3,Close,16267.18,2632.77,2653.55,-552.47,10,27468.48,592.21%
230,1640999048000,1h,Up,3,5,Close,16209.03,1172.77,12001.97,-606.28,24,61046.47,265.52%
425,1609463048000,1h,Down,3,7,High,16164.54,2632.82,16855.85,-1510.81,40,95182.83,169.83%
287,1640999048000,1h,Down,5,7,High,15711.29,1353.57,12066.85,-1478.92,49,113182.15,138.81%
276,1640999048000,1h,Down,3,3,Close,15478.86,1353.69,6394.94,-1025.6,15,18084.22,855.93%
202,1640999048000,15m,Down,2,7,Close,15123.27,5179.92,2449.55,-304.09,30,40193.15,376.26%
257,1640999048000,1h,Any,3,7,High,14862.85,2534.86,20884.18,-1311.36,71,170207.2,87.32%
407,1609463048000,1h,Any,5,7,High,14633.72,4960.93,37319.42,-4002.2,90,207978.68,70.36%
362,1609463048000,1h,Up,1,5,Close,14562.07,2320.06,3960.7,-277.98,14,37390.2,389.46%
285,1640999048000,1h,Down,5,5,High,14553.98,1354.15,7732.67,-1692.19,38,83455.44,174.39%
364,1609463048000,1h,Up,1,7,Close,14203.55,2320.24,1771.9,-277.98,14,37390.2,379.87%
164,1640999048000,15m,Up,5,5,Close,13824.47,4514.93,3701.44,-1176.52,39,44167.78,313.00%
251,1640999048000,1h,Any,2,7,High,13715.54,2535.43,6614.92,-776.45,49,124921.11,109.79%
308,1609463048000,15m,Up,5,5,Close,13652.45,9274.7,7028.73,-1795.8,39,44167.78,309.10%
360,1609463048000,1h,Up,1,3,Close,13517.4,2320.59,1573.95,-277.98,11,12016.49,1124.90%
158,1640999048000,15m,Up,3,5,Close,13432.02,4515.13,2267.94,-432.12,35,39988.54,335.90%
200,1640999048000,15m,Down,2,5,Close,13006.08,5180.98,2085.34,-372.74,23,37879.68,343.35%
259,1640999048000,1h,Any,5,3,High,12979.29,2535.8,3841.46,-2551.22,59,125519.92,103.40%
354,1609463048000,15m,Down,5,3,Close,12922.32,10641.9,7951.86,-2664.53,23,51993.8,248.54%
329,1609463048000,15m,Any,3,7,High,12803.82,19916.33,13842.01,-2835.62,61,149490.47,85.65%
237,1640999048000,1h,Up,5,5,High,12795.28,1174.47,12001.97,-1317.4,24,61046.47,209.60%
246,1640999048000,1h,Any,2,3,Close,12650.33,2535.97,3392.44,-997.07,23,67961.65,186.14%
198,1640999048000,15m,Down,2,3,Close,12420.87,5181.27,2282.61,-372.74,17,55200.85,225.01%
268,1640999048000,1h,Down,1,7,Close,12345.38,1355.25,2606.96,-173.57,18,29250.68,422.05%
196,1640999048000,15m,Down,1,7,Close,12162.66,5183.19,1479.77,-77.71,16,23123.19,525.99%
215,1640999048000,15m,Down,5,7,High,12110.71,5181.42,9924.77,-1269.6,59,150839.71,80.29%
399,1609463048000,1h,Any,3,5,High,12018.69,4962.23,33749.43,-2849.98,50,113352.86,106.03%
