,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
102,imxusdt,0.998,1.01,Close,1320.46,107.51,154.01,-87.64,19,3800.0,347.49%,65.75%,12.28,136.55
118,imxusdt,0.99,1.01,Close,1304.79,107.51,154.01,-87.64,19,3800.0,343.37%,66.85%,12.14,136.55
110,imxusdt,0.995,1.01,Close,1301.28,107.5,154.01,-87.64,19,3800.0,342.44%,65.92%,12.1,136.55
155,linausdt,0.995,1.001,Low,1268.08,45.26,140.83,-17.02,9,1800.0,704.49%,67.96%,28.02,138.96
147,linausdt,0.998,1.001,Low,1267.85,45.26,140.83,-14.66,9,1800.0,704.36%,67.31%,28.01,138.96
163,linausdt,0.99,1.001,Low,1235.39,45.24,140.83,-20.96,9,1800.0,686.33%,68.93%,27.31,138.96
162,linausdt,0.99,1.001,Close,1195.22,45.22,140.83,-37.91,9,1800.0,664.01%,70.87%,26.43,138.96
154,linausdt,0.995,1.001,Close,1192.85,45.22,140.83,-37.91,9,1800.0,662.70%,69.90%,26.38,138.96
146,linausdt,0.998,1.001,Close,1157.76,45.2,140.83,-37.91,9,1800.0,643.20%,69.23%,25.61,138.96
143,roseusdt,0.99,1.01,Low,1103.68,152.43,242.47,-102.11,33,6600.0,167.22%,60.10%,7.24,-37.52
77,injusdt,0.998,1.003,Low,1078.82,57.17,162.7,-12.37,8,1600.0,674.26%,66.41%,18.87,-0.8
46,crvusdt,0.99,1.01,Close,1064.97,144.2,126.93,-92.95,61,12200.0,87.29%,66.48%,7.39,-80.54
85,injusdt,0.995,1.003,Low,1062.32,57.16,162.7,-16.06,8,1600.0,663.95%,68.70%,18.59,-0.8
101,imxusdt,0.998,1.003,Low,1059.59,50.15,156.75,-18.13,7,1400.0,756.85%,65.35%,21.13,63.85
142,roseusdt,0.99,1.01,Close,1055.25,152.4,242.47,-100.61,33,6600.0,159.89%,60.10%,6.92,-37.52
47,crvusdt,0.99,1.01,Low,1054.85,144.2,126.93,-89.92,61,12200.0,86.46%,65.93%,7.32,-92.07
93,injusdt,0.99,1.003,Low,1051.96,57.15,162.7,-24.02,8,1600.0,657.47%,70.54%,18.41,-0.8
116,imxusdt,0.99,1.003,Close,1046.31,50.15,156.75,-32.78,7,1400.0,747.36%,72.80%,20.86,66.31
76,injusdt,0.998,1.003,Close,1040.54,57.15,162.7,-19.41,8,1600.0,650.34%,67.94%,18.21,-0.8
127,roseusdt,0.998,1.01,Low,1035.79,152.39,242.47,-62.28,33,6600.0,156.94%,56.48%,6.8,-50.81
145,linausdt,0.998,0.999,Low,1035.65,33.53,82.77,-13.09,8,1600.0,647.28%,66.67%,30.88,81.73
92,injusdt,0.99,1.003,Close,1035.03,57.15,162.7,-22.23,8,1600.0,646.90%,70.54%,18.11,-0.8
109,imxusdt,0.995,1.003,Low,1034.39,50.14,156.75,-21.36,7,1400.0,738.85%,66.93%,20.63,62.08
117,imxusdt,0.99,1.003,Low,1027.59,50.14,156.75,-21.36,7,1400.0,733.99%,68.80%,20.49,59.13
153,linausdt,0.995,0.999,Low,1027.47,33.53,82.77,-15.46,8,1600.0,642.17%,67.39%,30.64,81.73
84,injusdt,0.995,1.003,Close,1022.38,57.14,162.7,-21.98,8,1600.0,638.99%,68.70%,17.89,-0.8
108,imxusdt,0.995,1.003,Close,1016.18,50.13,156.75,-32.78,7,1400.0,725.84%,70.08%,20.27,66.31
31,crvusdt,0.998,1.01,Low,1011.26,144.18,126.93,-86.39,41,8200.0,123.32%,59.60%,7.01,-89.13
100,imxusdt,0.998,1.003,Close,1010.96,50.13,156.75,-32.78,7,1400.0,722.12%,67.72%,20.17,66.31
161,linausdt,0.99,0.999,Low,1010.76,33.52,82.77,-19.4,8,1600.0,631.73%,68.48%,30.15,81.73
160,linausdt,0.99,0.999,Close,1009.11,33.52,82.77,-22.11,8,1600.0,630.69%,70.65%,30.1,81.73
152,linausdt,0.995,0.999,Close,1006.73,33.52,82.77,-13.03,8,1600.0,629.21%,69.57%,30.03,81.73
144,linausdt,0.998,0.999,Close,988.49,33.51,82.77,-13.03,8,1600.0,617.81%,68.82%,29.5,81.73
135,roseusdt,0.995,1.01,Low,979.76,152.37,242.47,-69.91,33,6600.0,148.45%,57.62%,6.43,-37.52
38,crvusdt,0.995,1.01,Close,951.09,144.15,126.93,-70.13,41,8200.0,115.99%,63.54%,6.6,-81.03
30,crvusdt,0.998,1.01,Close,943.18,144.14,126.93,-109.5,41,8200.0,115.02%,63.13%,6.54,-81.03
39,crvusdt,0.995,1.01,Low,927.35,144.14,126.93,-110.78,41,8200.0,113.09%,62.50%,6.43,-95.48
75,injusdt,0.998,1.001,Low,920.53,45.28,165.42,-9.84,8,1600.0,575.33%,65.49%,20.33,-0.4
141,roseusdt,0.99,1.003,Low,908.07,64.69,251.15,-60.38,12,2400.0,378.36%,66.42%,14.04,-22.42
91,injusdt,0.99,1.001,Low,907.74,45.28,165.42,-20.87,8,1600.0,567.34%,71.17%,20.05,-0.4
83,injusdt,0.995,1.001,Low,907.03,45.28,165.42,-12.9,8,1600.0,566.89%,68.14%,20.03,-0.4
90,injusdt,0.99,1.001,Close,905.15,45.28,165.42,-19.08,8,1600.0,565.72%,72.07%,19.99,-0.4
74,injusdt,0.998,1.001,Close,903.76,45.27,165.42,-16.25,8,1600.0,564.85%,71.68%,19.96,-0.4
140,roseusdt,0.99,1.003,Close,889.14,64.68,251.15,-60.21,12,2400.0,370.47%,66.42%,13.75,-22.42
82,injusdt,0.995,1.001,Close,887.19,45.27,165.42,-16.25,8,1600.0,554.49%,71.68%,19.6,-0.4
134,roseusdt,0.995,1.01,Close,885.08,152.32,242.47,-82.45,33,6600.0,134.10%,58.57%,5.81,-37.52
133,roseusdt,0.995,1.003,Low,883.64,64.67,251.15,-48.56,12,2400.0,368.18%,62.14%,13.66,-22.42
132,roseusdt,0.995,1.003,Close,876.48,64.67,251.15,-60.21,12,2400.0,365.20%,64.29%,13.55,-22.42
125,roseusdt,0.998,1.003,Low,860.55,64.66,251.15,-41.47,12,2400.0,358.56%,59.31%,13.31,-31.61
114,imxusdt,0.99,1.001,Close,845.17,35.04,159.46,-21.41,7,1400.0,603.69%,73.74%,24.12,69.64
99,imxusdt,0.998,1.001,Low,827.56,35.03,159.46,-12.31,7,1400.0,591.12%,66.00%,23.62,67.18
115,imxusdt,0.99,1.001,Low,823.31,35.03,159.46,-14.39,7,1400.0,588.08%,68.69%,23.5,62.45
29,crvusdt,0.998,1.003,Low,820.96,57.44,97.12,-45.32,17,3400.0,241.46%,65.08%,14.29,-74.39
106,imxusdt,0.995,1.001,Close,815.89,35.03,159.46,-21.41,7,1400.0,582.78%,71.00%,23.29,69.64
98,imxusdt,0.998,1.001,Close,813.91,35.02,159.46,-21.41,7,1400.0,581.36%,71.00%,23.24,69.64
28,crvusdt,0.998,1.003,Close,813.66,57.44,97.12,-43.85,17,3400.0,239.31%,67.46%,14.17,-66.24
124,roseusdt,0.998,1.003,Close,810.31,64.64,251.15,-60.21,12,2400.0,337.63%,62.07%,12.54,-32.04
107,imxusdt,0.995,1.001,Low,810.27,35.02,159.46,-13.86,7,1400.0,578.76%,67.00%,23.14,65.4
44,crvusdt,0.99,1.003,Close,806.87,57.43,97.12,-63.58,17,3400.0,237.31%,72.03%,14.05,-65.74
73,injusdt,0.998,0.999,Low,801.58,33.82,140.01,-8.66,7,1400.0,572.55%,69.23%,23.7,0.0
126,roseusdt,0.998,1.01,Close,800.83,152.28,242.47,-82.45,33,6600.0,121.34%,56.48%,5.26,-51.24
112,imxusdt,0.99,0.999,Close,799.67,27.01,162.18,-18.51,6,1200.0,666.39%,72.97%,29.6,72.99
37,crvusdt,0.995,1.003,Low,798.63,57.43,97.12,-49.39,17,3400.0,234.89%,66.67%,13.91,-80.78
36,crvusdt,0.995,1.003,Close,797.16,57.43,97.12,-43.85,17,3400.0,234.46%,67.48%,13.88,-66.24
81,injusdt,0.995,0.999,Low,793.8,33.81,140.01,-10.44,7,1400.0,567.00%,71.43%,23.48,0.0
72,injusdt,0.998,0.999,Close,791.89,33.81,140.01,-12.35,7,1400.0,565.64%,72.53%,23.42,0.0
45,crvusdt,0.99,1.003,Low,786.88,57.42,97.12,-75.19,17,3400.0,231.44%,71.19%,13.7,-77.35
139,roseusdt,0.99,1.001,Low,781.14,48.01,253.65,-51.21,11,2200.0,355.06%,65.42%,16.27,-18.07
80,injusdt,0.995,0.999,Close,776.3,33.81,140.01,-14.14,7,1400.0,554.50%,72.53%,22.96,0.0
113,imxusdt,0.99,0.999,Low,775.33,27.0,162.18,-12.32,6,1200.0,646.11%,67.57%,28.71,65.78
89,injusdt,0.99,0.999,Low,774.35,33.8,140.01,-13.4,7,1400.0,553.10%,72.22%,22.91,0.0
88,injusdt,0.99,0.999,Close,771.21,33.8,140.01,-14.14,7,1400.0,550.86%,73.33%,22.82,0.0
138,roseusdt,0.99,1.001,Close,768.67,48.01,253.65,-51.06,11,2200.0,349.40%,65.42%,16.01,-18.07
97,imxusdt,0.998,0.999,Low,761.25,26.99,162.18,-9.92,6,1200.0,634.38%,64.00%,28.2,70.52
104,imxusdt,0.995,0.999,Close,759.65,26.99,162.18,-18.51,6,1200.0,633.04%,69.33%,28.14,72.99
131,roseusdt,0.995,1.001,Low,757.12,48.0,253.65,-40.36,11,2200.0,344.15%,60.55%,15.77,-18.07
96,imxusdt,0.998,0.999,Close,757.11,26.99,162.18,-18.51,6,1200.0,630.92%,69.33%,28.05,72.99
130,roseusdt,0.995,1.001,Close,753.98,48.0,253.65,-51.06,11,2200.0,342.72%,64.22%,15.71,-18.07
105,imxusdt,0.995,0.999,Low,750.3,26.99,162.18,-12.29,6,1200.0,625.25%,65.33%,27.8,68.74
137,roseusdt,0.99,0.999,Low,729.44,37.18,256.16,-42.58,11,2200.0,331.56%,63.64%,19.62,-13.7
123,roseusdt,0.998,1.001,Low,723.98,47.99,253.65,-33.85,11,2200.0,329.08%,56.25%,15.09,-26.08
136,roseusdt,0.99,0.999,Close,719.73,37.18,256.16,-42.44,11,2200.0,327.15%,63.64%,19.36,-13.7
129,roseusdt,0.995,0.999,Low,703.43,37.17,256.16,-32.69,11,2200.0,319.74%,60.00%,18.92,-13.7
128,roseusdt,0.995,0.999,Close,694.82,37.17,256.16,-42.44,11,2200.0,315.83%,63.33%,18.7,-13.7
26,crvusdt,0.998,1.001,Close,692.32,41.97,100.51,-41.14,13,2600.0,266.28%,67.33%,16.5,-61.97
27,crvusdt,0.998,1.001,Low,690.15,41.97,100.51,-42.61,13,2600.0,265.44%,66.34%,16.45,-70.14
122,roseusdt,0.998,1.001,Close,686.53,47.97,253.65,-51.06,11,2200.0,312.06%,60.71%,14.31,-26.51
42,crvusdt,0.99,1.001,Close,682.14,41.96,100.51,-59.31,13,2600.0,262.36%,70.83%,16.26,-61.48
34,crvusdt,0.995,1.001,Close,677.29,41.96,100.51,-41.14,13,2600.0,260.50%,67.68%,16.14,-61.97
35,crvusdt,0.995,1.001,Low,675.68,41.96,100.51,-46.69,13,2600.0,259.88%,67.68%,16.1,-76.55
121,roseusdt,0.998,0.999,Low,666.32,37.15,256.16,-26.76,11,2200.0,302.87%,55.43%,17.94,-20.52
43,crvusdt,0.99,1.001,Low,663.07,41.95,100.51,-70.94,13,2600.0,255.03%,70.83%,15.81,-73.11
120,roseusdt,0.998,0.999,Close,632.99,37.14,256.16,-42.44,11,2200.0,287.72%,58.70%,17.05,-20.95
24,crvusdt,0.998,0.999,Close,607.75,28.72,92.3,-38.42,7,1400.0,434.11%,69.33%,21.16,-57.69
25,crvusdt,0.998,0.999,Low,603.97,28.72,92.3,-39.89,7,1400.0,431.41%,69.33%,21.03,-65.88
40,crvusdt,0.99,0.999,Close,597.13,28.71,92.3,-55.02,11,2200.0,271.42%,74.65%,20.8,-57.19
32,crvusdt,0.995,0.999,Close,596.82,28.71,92.3,-38.42,7,1400.0,426.30%,71.23%,20.79,-57.69
33,crvusdt,0.995,0.999,Low,588.3,28.71,92.3,-43.98,7,1400.0,420.22%,71.23%,20.49,-72.29
41,crvusdt,0.99,0.999,Low,579.46,28.7,92.3,-66.68,11,2200.0,263.39%,74.65%,20.19,-68.85
3,ethusdt,0.998,1.001,Low,380.77,59.22,87.37,-9.1,22,4400.0,86.54%,60.53%,6.43,71.12
5,ethusdt,0.998,1.003,Low,361.29,92.63,84.96,-17.11,24,4800.0,75.27%,56.86%,3.9,65.93
2,ethusdt,0.998,1.001,Close,345.1,59.2,87.37,-25.59,22,4400.0,78.43%,63.16%,5.83,52.64
11,ethusdt,0.995,1.001,Low,341.53,59.2,87.37,-12.68,22,4400.0,77.62%,62.28%,5.77,64.13
10,ethusdt,0.995,1.001,Close,331.02,59.2,87.37,-25.59,22,4400.0,75.23%,64.91%,5.59,52.64
13,ethusdt,0.995,1.003,Low,319.25,92.61,84.96,-24.27,24,4800.0,66.51%,58.55%,3.45,55.68
4,ethusdt,0.998,1.003,Close,315.0,92.6,84.96,-32.51,24,4800.0,65.63%,58.82%,3.4,46.71
12,ethusdt,0.995,1.003,Close,306.1,92.6,84.96,-32.51,24,4800.0,63.77%,59.87%,3.31,47.22
19,ethusdt,0.99,1.001,Low,303.13,59.18,87.37,-19.12,22,4400.0,68.89%,63.72%,5.12,53.18
18,ethusdt,0.99,1.001,Close,271.4,59.17,87.37,-34.77,22,4400.0,61.68%,64.60%,4.59,44.11
21,ethusdt,0.99,1.003,Low,255.68,92.57,84.96,-36.21,24,4800.0,53.27%,60.00%,2.76,31.13
1,ethusdt,0.998,0.999,Low,243.71,28.74,75.21,-4.68,17,3400.0,71.68%,55.26%,8.48,65.47
20,ethusdt,0.99,1.003,Close,233.9,92.56,84.96,-37.89,24,4800.0,48.73%,60.67%,2.53,24.8
7,ethusdt,0.998,1.01,Low,233.07,269.65,96.56,-59.78,41,8200.0,28.42%,50.00%,0.86,-90.67
0,ethusdt,0.998,0.999,Close,231.99,28.73,75.21,-15.41,17,3400.0,68.23%,61.84%,8.07,52.45
9,ethusdt,0.995,0.999,Low,224.62,28.73,75.21,-7.67,17,3400.0,66.06%,56.58%,7.82,62.48
8,ethusdt,0.995,0.999,Close,213.75,28.72,75.21,-19.74,17,3400.0,62.87%,61.84%,7.44,52.45
17,ethusdt,0.99,0.999,Low,200.35,28.71,75.21,-12.66,17,3400.0,58.93%,57.89%,6.98,57.5
16,ethusdt,0.99,0.999,Close,189.15,28.71,75.21,-19.74,17,3400.0,55.63%,60.53%,6.59,52.45
15,ethusdt,0.995,1.01,Low,29.15,269.55,96.56,-72.48,41,8200.0,3.55%,52.32%,0.11,-134.94
6,ethusdt,0.998,1.01,Close,-21.98,269.52,96.56,-84.46,41,8200.0,-2.68%,52.07%,-0.08,-141.93
14,ethusdt,0.995,1.01,Close,-67.75,269.5,96.56,-84.46,41,8200.0,-8.26%,52.74%,-0.25,-181.52
23,ethusdt,0.99,1.01,Low,-170.22,269.45,96.56,-102.27,41,8200.0,-20.76%,53.65%,-0.63,-170.22
22,ethusdt,0.99,1.01,Close,-214.32,269.43,96.56,-86.59,41,8200.0,-26.14%,53.65%,-0.8,-214.32
184,epxusdt,0.99,0.999,Close,-2711.0,159.92,1060.37,-695.29,50,10000.0,-271.10%,29.69%,-16.95,-3074.78
176,epxusdt,0.995,0.999,Close,-2711.0,159.92,1060.37,-695.29,50,10000.0,-271.10%,29.69%,-16.95,-3074.78
168,epxusdt,0.998,0.999,Close,-2711.0,159.92,1060.37,-695.29,50,10000.0,-271.10%,29.69%,-16.95,-3074.78
169,epxusdt,0.998,0.999,Low,-2712.1,159.92,1060.37,-695.29,50,10000.0,-271.21%,29.69%,-16.96,-3075.87
177,epxusdt,0.995,0.999,Low,-2713.74,159.92,1060.37,-695.29,50,10000.0,-271.37%,29.69%,-16.97,-3077.51
185,epxusdt,0.99,0.999,Low,-2716.47,159.92,1060.37,-695.29,50,10000.0,-271.65%,29.69%,-16.99,-3080.24
170,epxusdt,0.998,1.001,Close,-3032.45,161.76,1050.66,-702.3,50,10000.0,-303.24%,29.69%,-18.75,-3392.7
186,epxusdt,0.99,1.001,Close,-3032.45,161.76,1050.66,-702.3,50,10000.0,-303.24%,29.69%,-18.75,-3392.7
178,epxusdt,0.995,1.001,Close,-3032.45,161.76,1050.66,-702.3,50,10000.0,-303.24%,29.69%,-18.75,-3392.7
171,epxusdt,0.998,1.001,Low,-3033.54,161.76,1050.66,-702.3,50,10000.0,-303.35%,29.69%,-18.75,-3393.79
179,epxusdt,0.995,1.001,Low,-3035.18,161.76,1050.66,-702.3,50,10000.0,-303.52%,29.69%,-18.76,-3395.42
187,epxusdt,0.99,1.001,Low,-3037.9,161.76,1050.66,-702.3,50,10000.0,-303.79%,29.69%,-18.78,-3398.15
180,epxusdt,0.995,1.003,Close,-3323.68,163.82,1040.98,-709.27,50,10000.0,-332.37%,29.69%,-20.29,-3680.42
172,epxusdt,0.998,1.003,Close,-3323.68,163.82,1040.98,-709.27,50,10000.0,-332.37%,29.69%,-20.29,-3680.42
188,epxusdt,0.99,1.003,Close,-3323.68,163.82,1040.98,-709.27,50,10000.0,-332.37%,29.69%,-20.29,-3680.42
173,epxusdt,0.998,1.003,Low,-3324.77,163.82,1040.98,-709.27,50,10000.0,-332.48%,29.69%,-20.3,-3681.51
181,epxusdt,0.995,1.003,Low,-3326.4,163.82,1040.98,-709.27,50,10000.0,-332.64%,29.69%,-20.31,-3683.14
189,epxusdt,0.99,1.003,Low,-3329.12,163.82,1040.98,-709.27,50,10000.0,-332.91%,29.69%,-20.32,-3685.86
182,epxusdt,0.995,1.01,Close,-4406.43,174.28,1007.43,-733.46,50,10000.0,-440.64%,28.36%,-25.28,-4750.98
174,epxusdt,0.998,1.01,Close,-4406.43,174.28,1007.43,-733.46,50,10000.0,-440.64%,28.36%,-25.28,-4750.98
190,epxusdt,0.99,1.01,Close,-4406.43,174.28,1007.43,-733.46,50,10000.0,-440.64%,28.36%,-25.28,-4750.98
175,epxusdt,0.998,1.01,Low,-4407.51,174.28,1007.43,-733.46,50,10000.0,-440.75%,28.36%,-25.29,-4752.06
183,epxusdt,0.995,1.01,Low,-4409.13,174.28,1007.43,-733.46,50,10000.0,-440.91%,28.36%,-25.3,-4753.69
191,epxusdt,0.99,1.01,Low,-4411.83,174.28,1007.43,-733.46,50,10000.0,-441.18%,28.36%,-25.31,-4756.39
56,xecusdt,0.995,0.999,Close,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
65,xecusdt,0.99,0.999,Low,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
64,xecusdt,0.99,0.999,Close,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
49,xecusdt,0.998,0.999,Low,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
48,xecusdt,0.998,0.999,Close,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
57,xecusdt,0.995,0.999,Low,-435649.84,274.71,4341.31,-24200.0,121,24200.0,-18002.06%,3.05%,-1585.84,-435649.84
51,xecusdt,0.998,1.001,Low,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
50,xecusdt,0.998,1.001,Close,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
66,xecusdt,0.99,1.001,Close,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
67,xecusdt,0.99,1.001,Low,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
58,xecusdt,0.995,1.001,Close,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
59,xecusdt,0.995,1.001,Low,-435764.98,275.26,4324.64,-24200.0,121,24200.0,-18006.82%,3.05%,-1583.13,-435764.98
60,xecusdt,0.995,1.003,Close,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
61,xecusdt,0.995,1.003,Low,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
52,xecusdt,0.998,1.003,Close,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
53,xecusdt,0.998,1.003,Low,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
69,xecusdt,0.99,1.003,Low,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
68,xecusdt,0.99,1.003,Close,-435880.84,276.0,4308.04,-24200.0,121,24200.0,-18011.61%,3.03%,-1579.29,-435880.84
71,xecusdt,0.99,1.01,Low,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
70,xecusdt,0.99,1.01,Close,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
55,xecusdt,0.998,1.01,Low,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
62,xecusdt,0.995,1.01,Close,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
63,xecusdt,0.995,1.01,Low,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
54,xecusdt,0.998,1.01,Close,-436303.23,279.99,4250.46,-24200.0,121,24200.0,-18029.06%,3.03%,-1558.29,-436303.23
200,shibusdt,0.995,0.999,Close,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
209,shibusdt,0.99,0.999,Low,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
208,shibusdt,0.99,0.999,Close,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
201,shibusdt,0.995,0.999,Low,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
193,shibusdt,0.998,0.999,Low,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
192,shibusdt,0.998,0.999,Close,-587575.23,301.36,4526.13,-17200.0,86,17200.0,-34161.35%,0.65%,-1949.73,-587575.23
211,shibusdt,0.99,1.001,Low,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
195,shibusdt,0.998,1.001,Low,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
194,shibusdt,0.998,1.001,Close,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
202,shibusdt,0.995,1.001,Close,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
203,shibusdt,0.995,1.001,Low,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
210,shibusdt,0.99,1.001,Close,-587590.66,301.36,4510.7,-17200.0,86,17200.0,-34162.25%,0.65%,-1949.83,-587590.66
196,shibusdt,0.998,1.003,Close,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
213,shibusdt,0.99,1.003,Low,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
204,shibusdt,0.995,1.003,Close,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
205,shibusdt,0.995,1.003,Low,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
197,shibusdt,0.998,1.003,Low,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
212,shibusdt,0.99,1.003,Close,-587606.03,301.35,4495.32,-17200.0,86,17200.0,-34163.14%,0.65%,-1949.93,-587606.03
214,shibusdt,0.99,1.01,Close,-587659.33,301.32,4441.99,-17200.0,86,17200.0,-34166.24%,0.65%,-1950.28,-587659.33
206,shibusdt,0.995,1.01,Close,-587659.33,301.32,4441.99,-17200.0,86,17200.0,-34166.24%,0.65%,-1950.28,-587659.33
207,shibusdt,0.995,1.01,Low,-587659.33,301.32,4441.99,-17200.0,86,17200.0,-34166.24%,0.65%,-1950.28,-587659.33
199,shibusdt,0.998,1.01,Low,-587659.33,301.32,4441.99,-17200.0,86,17200.0,-34166.24%,0.65%,-1950.28,-587659.33
