,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
48,1609463048000,15m,Up,2,6,High,-1582.64,762.44,481.07,-347.46,23,37879.68,-41.78%
15,1609463048000,15m,Up,3,4,Close,-1856.13,637.97,471.69,-280.55,15,23460.0,-79.12%
113,1609463048000,15m,Up,3,4,High,-2014.19,9284.32,4579.03,-345.77,21,32026.56,-62.89%
21,1609463048000,15m,Up,3,5,Close,-2136.99,1403.34,1216.76,-142.14,24,35125.56,-60.84%
75,1609463048000,15m,Up,3,5,High,-2165.84,9713.98,3761.27,-476.55,42,63942.45,-33.87%
151,1609463048000,15m,Up,3,6,Close,-2255.5,10642.33,3168.61,-1482.12,23,89238.13,-25.28%
59,1609463048000,15m,Up,3,6,High,-2285.28,4524.77,1575.0,-287.24,21,32026.56,-71.36%
29,1609463048000,15m,Up,5,4,Close,-2342.61,1399.86,1071.35,-329.72,37,56810.57,-41.24%
34,1609463048000,15m,Up,5,4,High,-2387.5,1399.89,5026.54,-677.25,72,108060.11,-22.09%
51,1609463048000,15m,Up,5,5,Close,-2447.23,762.87,968.92,-278.47,24,38854.38,-62.98%
19,1609463048000,15m,Up,5,5,High,-2550.54,1403.55,758.95,-142.14,22,36037.94,-70.77%
49,1609463048000,15m,Up,5,6,Close,-2568.3,762.93,481.07,-347.46,23,37879.68,-67.80%
109,1609463048000,15m,Up,5,6,High,-2595.51,9284.61,2506.06,-345.77,19,29103.3,-89.18%
23,1609463048000,15m,Any,2,4,Close,-2771.07,1403.66,1216.76,-142.14,24,35125.56,-78.89%
30,1609463048000,15m,Any,2,4,High,-3136.93,1400.26,2783.19,-677.25,47,75991.53,-41.28%
32,1609463048000,15m,Any,2,5,Close,-3193.01,1400.29,2230.79,-677.25,49,79133.9,-40.35%
153,1609463048000,15m,Any,2,5,High,-3440.93,10642.92,6154.95,-1482.12,27,59394.57,-57.93%
145,1609463048000,15m,Any,2,6,Close,-3444.67,10644.72,3114.19,-702.07,23,89238.13,-38.60%
105,1609463048000,15m,Any,2,6,High,-3475.88,5189.21,3408.8,-1279.25,45,53216.34,-65.32%
149,1609463048000,15m,Any,3,4,Close,-3536.47,10644.76,6878.74,-702.07,23,51018.9,-69.32%
77,1609463048000,15m,Any,3,4,High,-3760.41,9714.77,3734.28,-476.55,42,63942.45,-58.81%
73,1609463048000,15m,Any,3,5,Close,-3936.28,9714.86,3504.42,-573.39,42,63942.45,-61.56%
129,1609463048000,15m,Any,3,5,High,-4020.51,19928.31,10668.05,-1090.87,42,63942.45,-62.88%
31,1609463048000,15m,Any,3,6,Close,-4546.08,1400.97,2703.34,-557.64,46,74354.05,-61.14%
53,1609463048000,15m,Any,3,6,High,-4615.47,763.96,568.18,-273.03,27,43581.81,-105.90%
79,1609463048000,15m,Any,5,4,Close,-4658.61,9711.64,3903.27,-1062.53,44,66877.97,-69.66%
63,1609463048000,15m,Any,5,4,High,-4741.16,4524.21,1863.3,-432.12,26,28475.7,-166.50%
125,1609463048000,15m,Any,5,5,Close,-5474.94,9284.26,7899.66,-1795.8,50,57528.53,-95.17%
147,1609463048000,15m,Any,5,5,High,-5560.06,10645.77,6154.95,-702.07,23,51018.9,-108.98%
135,1609463048000,15m,Any,5,6,Close,-5599.86,19925.53,10668.05,-2835.62,55,60376.55,-92.75%
