,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
246,1641028611000,15m,Up,4,6,Close,20545.32,4520.38,4547.85,-836.41,44,50921.96,403.47%
200,1641028611000,15m,Any,3,3,Close,20541.67,9716.69,3383.7,-1062.53,50,59679.21,344.20%
556,1609492611000,1h,Down,3,5,Close,20499.53,2630.65,7303.56,-1510.81,29,65456.12,313.18%
370,1641028611000,1h,Down,4,4,Close,20149.82,1351.35,3429.91,-967.02,29,65456.12,307.84%
564,1609492611000,1h,Down,4,5,Close,20125.58,2630.84,11558.52,-1469.77,29,65456.12,307.47%
379,1641028611000,1h,Down,5,4,High,19731.93,1351.56,10000.61,-1478.92,36,79578.85,247.95%
286,1641028611000,15m,Down,5,6,Close,19718.0,5186.45,5847.76,-1279.25,57,66219.65,297.77%
552,1609492611000,1h,Down,3,3,Close,19713.64,2631.04,6394.94,-1510.81,15,34741.26,567.44%
484,1609492611000,1h,Any,2,5,Close,19577.9,4958.45,8479.96,-1585.63,31,98040.45,199.69%
414,1609492611000,15m,Any,5,6,Close,19419.7,19933.65,14247.58,-5003.37,103,119568.94,162.41%
448,1609492611000,15m,Down,2,3,Close,19335.5,10641.13,2282.61,-702.07,18,39557.94,488.79%
458,1609492611000,15m,Down,3,4,Close,19323.17,10641.14,3171.93,-1482.12,23,89238.13,216.53%
202,1641028611000,15m,Any,3,4,Close,19075.37,9717.42,5104.47,-1062.53,50,59679.21,319.63%
196,1641028611000,15m,Any,2,5,Close,18980.7,9717.47,3761.27,-476.55,44,66877.97,283.81%
554,1609492611000,1h,Down,3,4,Close,18923.96,2631.44,4992.58,-1510.81,29,65456.12,289.11%
292,1641028611000,1h,Any,2,5,Close,18583.25,2533.0,6420.51,-875.36,29,81285.54,228.62%
383,1641028611000,1h,Down,5,6,High,18579.68,1352.14,12066.85,-1478.92,49,113182.15,164.16%
377,1641028611000,1h,Down,5,3,High,18424.08,1352.21,6394.94,-1292.13,18,20048.24,918.99%
208,1641028611000,15m,Any,4,3,Close,18264.37,9717.83,3383.7,-1753.06,54,64349.3,283.83%
488,1609492611000,1h,Any,3,3,Close,18224.08,4959.13,7004.15,-2849.98,40,87748.44,207.69%
373,1641028611000,1h,Down,4,5,High,18207.12,1352.32,7732.67,-1192.79,29,65456.12,278.16%
215,1641028611000,15m,Any,4,6,High,18080.28,9717.92,12200.63,-1411.2,83,95306.76,189.71%
424,1609492611000,15m,Up,3,3,Close,17968.79,9283.59,1769.74,-910.35,21,61892.46,290.32%
364,1641028611000,1h,Down,3,5,Close,17939.02,1352.46,6131.84,-717.03,29,65456.12,274.06%
298,1641028611000,1h,Any,3,4,Close,17911.54,2533.34,8195.8,-1311.36,50,113352.86,158.02%
270,1641028611000,15m,Down,3,6,Close,17844.22,5187.39,5380.37,-606.83,32,42840.87,416.52%
306,1641028611000,1h,Any,4,4,Close,17824.11,2533.38,6411.12,-2061.57,50,113352.86,157.24%
418,1609492611000,15m,Up,2,4,Close,17738.42,9283.7,2506.06,-345.77,19,29103.3,609.50%
192,1641028611000,15m,Any,2,3,Close,17557.67,9718.18,2916.06,-573.39,44,66877.97,262.53%
460,1609492611000,15m,Down,3,5,Close,17495.06,10642.05,6154.95,-1482.12,29,31900.85,548.42%
562,1609492611000,1h,Down,4,4,Close,17404.76,2632.2,5624.67,-1469.77,29,65456.12,265.90%
561,1609492611000,1h,Down,4,3,High,17360.83,2632.22,6394.94,-1469.77,18,20048.24,865.95%
334,1641028611000,1h,Up,3,6,Close,17266.35,1172.24,10481.56,-606.28,31,75024.37,230.14%
534,1609492611000,1h,Up,4,6,Close,17068.2,2318.81,23695.71,-1883.7,31,75024.37,227.50%
416,1609492611000,15m,Up,2,3,Close,16986.66,9284.08,1461.84,-345.77,17,42042.9,404.03%
238,1641028611000,15m,Up,3,6,Close,16936.04,4522.18,3588.15,-524.98,44,50921.96,332.59%
194,1641028611000,15m,Any,2,4,Close,16728.04,9718.59,3504.42,-573.39,44,66877.97,250.13%
569,1609492611000,1h,Down,5,3,High,16619.82,2632.59,6394.94,-1845.11,18,20048.24,828.99%
362,1641028611000,1h,Down,3,4,Close,16544.44,1353.15,4465.03,-717.03,29,65456.12,252.76%
369,1641028611000,1h,Down,4,3,High,16491.9,1353.18,6394.94,-1346.84,18,20048.24,822.61%
296,1641028611000,1h,Any,3,3,Close,16484.09,2534.05,3622.79,-1311.36,40,87748.44,187.86%
371,1641028611000,1h,Down,4,4,High,16404.38,1353.22,3429.91,-967.02,29,65456.12,250.62%
332,1641028611000,1h,Up,3,5,Close,16208.95,1172.77,12001.97,-606.28,24,61046.47,265.52%
262,1641028611000,15m,Down,2,6,Close,16182.5,5188.22,2449.55,-372.74,30,40193.15,402.62%
442,1609492611000,15m,Up,5,4,Close,16175.13,9284.48,8039.23,-1795.8,32,115511.86,140.03%
446,1609492611000,15m,Up,5,6,Close,16158.79,9284.49,7899.66,-1795.8,50,57528.53,280.88%
464,1609492611000,15m,Down,4,3,Close,16061.42,10642.77,3808.53,-2073.33,23,51993.8,308.91%
559,1609492611000,1h,Down,3,6,High,16051.79,2632.87,15415.21,-1510.81,40,95182.83,168.64%
522,1609492611000,1h,Up,3,4,Close,15716.69,2319.49,9574.53,-1384.77,19,39415.75,398.74%
360,1641028611000,1h,Down,3,3,Close,15478.8,1353.69,6394.94,-1025.6,15,18084.22,855.93%
304,1641028611000,1h,Any,4,3,Close,15148.66,2534.72,3392.44,-1953.26,40,87748.44,172.64%
309,1641028611000,1h,Any,4,5,High,14731.24,2534.93,14340.46,-2061.57,53,78025.41,188.80%
303,1641028611000,1h,Any,3,6,High,14585.27,2535.0,20884.18,-1311.36,71,170207.2,85.69%
381,1641028611000,1h,Down,5,5,High,14554.08,1354.15,7732.67,-1692.19,38,83455.44,174.39%
438,1609492611000,15m,Up,4,6,Close,14350.35,9285.4,5389.5,-1220.31,44,50921.96,281.81%
250,1641028611000,15m,Up,5,4,Close,14097.46,4523.6,2858.58,-1176.52,29,32308.49,436.34%
532,1609492611000,1h,Up,4,5,Close,14088.57,2320.3,21643.52,-1883.7,25,50795.27,277.36%
470,1609492611000,15m,Down,4,6,Close,13797.28,10643.9,6878.74,-2073.33,52,60163.72,229.33%
252,1641028611000,15m,Up,5,5,Close,13760.91,4523.77,3701.44,-1176.52,39,44167.78,311.56%
346,1641028611000,1h,Up,5,4,Close,13685.3,1174.03,3998.47,-1317.93,25,49422.04,276.91%
255,1641028611000,15m,Up,5,6,High,13679.56,4523.81,7899.66,-1176.52,50,57528.53,237.79%
444,1609492611000,15m,Up,5,5,Close,13525.16,9285.81,7028.73,-1795.8,39,44167.78,306.22%
295,1641028611000,1h,Any,2,6,High,13489.92,2535.55,6614.92,-776.45,49,124921.11,107.99%
432,1609492611000,15m,Up,4,3,Close,13422.93,9285.86,1769.74,-1149.47,22,40371.46,332.49%
236,1641028611000,15m,Up,3,5,Close,13410.93,4523.94,2267.94,-432.12,35,39988.54,335.37%
565,1609492611000,1h,Down,4,5,High,13394.03,2634.2,11558.52,-1469.77,29,65456.12,204.63%
234,1641028611000,15m,Up,3,4,Close,13254.28,4524.02,1938.42,-432.12,25,28129.25,471.19%
290,1641028611000,1h,Any,2,4,Close,13082.76,2535.75,3118.55,-875.36,29,81285.54,160.95%
313,1641028611000,1h,Any,5,3,High,12979.41,2535.8,3841.46,-2551.22,59,125519.92,103.41%
260,1641028611000,15m,Down,2,5,Close,12955.98,5189.83,2085.34,-372.74,23,37879.68,342.03%
349,1641028611000,1h,Up,5,5,High,12795.15,1174.47,12001.97,-1317.4,24,61046.47,209.60%
472,1609492611000,15m,Down,5,3,Close,12773.52,10644.41,7951.86,-2664.53,23,51993.8,245.67%
244,1641028611000,15m,Up,4,5,Close,12685.82,4524.31,3701.44,-836.41,35,39988.54,317.24%
288,1641028611000,1h,Any,2,3,Close,12650.25,2535.97,3392.44,-997.07,23,67961.65,186.14%
256,1641028611000,15m,Down,2,3,Close,12501.24,5190.06,2282.61,-372.74,17,55200.85,226.47%
571,1609492611000,1h,Down,5,4,High,12400.1,2634.7,10000.61,-2205.68,36,79578.85,155.82%
527,1609492611000,1h,Up,3,6,High,12176.95,2321.26,16304.55,-1384.77,31,75024.37,162.31%
315,1641028611000,1h,Any,5,4,High,12116.3,2536.23,7253.86,-2924.17,69,151124.34,80.17%
242,1641028611000,15m,Up,4,4,Close,12049.43,4524.63,2356.42,-897.86,25,28129.25,428.36%
493,1609492611000,1h,Any,3,5,High,12018.69,4962.23,33749.43,-2849.98,50,113352.86,106.03%
440,1609492611000,15m,Up,5,3,Close,11888.27,9286.63,1769.74,-1617.54,22,40371.46,294.47%
436,1609492611000,15m,Up,4,5,Close,11858.04,9286.64,7028.73,-1220.31,35,39988.54,296.54%
330,1641028611000,1h,Up,3,4,Close,11834.88,1174.95,3998.47,-606.28,13,31283.5,378.31%
496,1609492611000,1h,Any,4,3,Close,11791.06,4962.35,7004.15,-3031.09,40,87748.44,134.37%
553,1609492611000,1h,Down,3,3,High,11727.71,2635.04,6394.94,-1510.81,15,34741.26,337.57%
264,1641028611000,15m,Down,3,3,Close,11632.89,5190.49,2282.61,-640.65,19,25211.86,461.41%
342,1641028611000,1h,Up,4,6,Close,11454.3,1175.14,9354.33,-830.06,31,75024.37,152.67%
563,1609492611000,1h,Down,4,4,High,11409.52,2635.19,5624.67,-1469.77,29,65456.12,174.31%
546,1609492611000,1h,Down,2,4,Close,11267.17,2635.27,4992.58,-808.39,15,34741.26,324.32%
518,1609492611000,1h,Up,2,6,Close,11054.51,2321.82,4507.95,-794.85,23,58726.31,188.24%
335,1641028611000,1h,Up,3,6,High,10958.58,1175.39,10481.56,-606.28,31,75024.37,146.07%
482,1609492611000,1h,Any,2,4,Close,10872.57,4962.81,7334.0,-1585.63,29,81285.54,133.76%
538,1609492611000,1h,Up,5,4,Close,10814.11,2321.94,14602.03,-2771.31,31,61830.53,174.90%
340,1641028611000,1h,Up,4,5,Close,10809.71,1175.47,12001.97,-918.18,24,61046.47,177.07%
499,1609492611000,1h,Any,4,4,High,10722.42,4962.88,32834.37,-3031.09,50,113352.86,94.59%
367,1641028611000,1h,Down,3,6,High,10694.58,1356.08,11057.18,-706.07,40,95182.83,112.36%
247,1641028611000,15m,Up,4,6,High,10646.6,4525.33,4547.85,-836.41,44,50921.96,209.08%
