,symbol,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
43,nearusdt,1h,3.0,9,Close,-0.08,0.01,0.36,-0.2,2,4.51,-16.70%,25.00%,-5.55,-0.21
194,adausdt,1h,3.0,12,Close,-0.09,0.01,0.09,-0.05,4,1.58,-56.11%,25.00%,-13.28,-0.09
192,adausdt,1h,3.0,7,Close,-0.1,0.01,0.05,-0.05,3,1.2,-83.54%,33.33%,-14.98,-0.1
193,adausdt,1h,3.0,9,Close,-0.11,0.01,0.06,-0.05,4,1.58,-70.93%,25.00%,-16.82,-0.11
190,adausdt,1h,3.0,3,Close,-0.11,0.01,0.02,-0.05,2,0.71,-158.07%,40.00%,-16.88,-0.13
115,avaxusdt,15m,3.0,3,Close,-0.12,2.82,2.77,-5.48,4,328.66,-0.36%,49.06%,-0.04,-10.67
35,nearusdt,1h,2.0,3,Close,-0.13,0.01,0.12,-0.14,2,4.51,-28.28%,25.00%,-9.42,-0.14
42,nearusdt,1h,3.0,7,Close,-0.16,0.01,0.28,-0.2,2,4.51,-34.60%,25.00%,-11.54,-0.21
79,apeusdt,1h,0.5,12,Close,-0.18,0.03,0.03,-0.09,1,15.38,-11.40%,25.00%,-5.54,-0.18
75,apeusdt,1h,0.5,3,Close,-0.18,0.03,0.03,-0.09,1,15.38,-11.40%,25.00%,-5.54,-0.18
76,apeusdt,1h,0.5,5,Close,-0.18,0.03,0.03,-0.09,1,15.38,-11.40%,25.00%,-5.54,-0.18
78,apeusdt,1h,0.5,9,Close,-0.18,0.03,0.03,-0.09,1,15.38,-11.40%,25.00%,-5.54,-0.18
77,apeusdt,1h,0.5,7,Close,-0.18,0.03,0.03,-0.09,1,15.38,-11.40%,25.00%,-5.54,-0.18
196,adausdt,1h,4.0,5,Close,-0.19,0.01,0.03,-0.07,2,0.71,-262.57%,30.00%,-28.2,-0.22
126,avaxusdt,1h,0.5,5,Close,-0.19,0.22,0.45,-0.42,1,85.19,-2.18%,50.00%,-0.83,-0.62
45,nearusdt,1h,4.0,3,Close,-0.2,0.01,0.17,-0.38,2,4.51,-45.27%,50.00%,-15.13,-0.39
199,adausdt,1h,4.0,12,Close,-0.21,0.01,0.09,-0.07,4,1.58,-131.37%,12.50%,-31.38,-0.21
197,adausdt,1h,4.0,7,Close,-0.22,0.01,0.05,-0.07,3,1.2,-179.80%,22.22%,-32.53,-0.22
195,adausdt,1h,4.0,3,Close,-0.22,0.01,0.02,-0.07,2,0.71,-309.22%,30.00%,-33.3,-0.23
198,adausdt,1h,4.0,9,Close,-0.23,0.01,0.06,-0.07,4,1.58,-146.20%,12.50%,-34.98,-0.23
