,symbol,interval,kd_dir,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
11,ethusdt,1h,Any,5,12,Close,-309.16,20.66,106.34,-60.01,6,1200.0,-257.64%,22.92%,-14.97,1.02
108,ftmusdt,15m,Any,7,3,Close,-309.78,89.49,46.16,-74.0,9,1800.0,-172.10%,67.08%,-3.46,1.22
10,ethusdt,1h,Any,5,9,Close,-310.23,20.66,89.71,-60.01,6,1200.0,-258.53%,30.00%,-15.02,1.01
293,dydxusdt,15m,Any,3,5,Close,-318.31,99.89,66.73,-46.49,7,1400.0,-227.36%,35.06%,-3.19,1.12
203,woousdt,1h,Any,5,12,Close,-319.95,13.85,197.89,-102.45,7,1400.0,-228.53%,19.35%,-23.11,1.0
138,sandusdt,1h,Any,5,9,Close,-321.41,14.25,76.42,-108.23,6,1200.0,-267.84%,32.43%,-22.56,1.0
250,woousdt,15m,Up,5,9,Close,-325.86,67.07,124.27,-82.35,10,2000.0,-162.93%,33.33%,-4.86,1.12
189,sandusdt,15m,Up,7,5,Close,-327.85,74.47,65.32,-74.45,7,1400.0,-234.18%,55.08%,-4.4,1.21
124,ftmusdt,15m,Up,7,3,Close,-328.46,83.88,39.97,-74.0,8,1600.0,-205.29%,67.37%,-3.92,1.24
169,sandusdt,15m,Any,5,5,Close,-332.63,78.67,65.32,-58.19,7,1400.0,-237.59%,44.39%,-4.23,1.09
115,ftmusdt,15m,Up,1,12,Close,-334.72,84.07,92.6,-16.37,5,1000.0,-334.72%,9.78%,-3.98,1.0
231,woousdt,15m,Any,3,12,Close,-337.86,70.87,138.06,-32.73,12,2400.0,-140.77%,18.32%,-4.77,1.24
268,dydxusdt,1h,Any,7,3,Close,-338.98,17.84,67.32,-125.45,6,1200.0,-282.48%,64.29%,-19.0,1.2
229,woousdt,15m,Any,3,5,Close,-339.1,70.87,59.87,-32.73,9,1800.0,-188.39%,34.09%,-4.79,1.31
249,woousdt,15m,Up,5,5,Close,-341.82,67.06,59.87,-82.35,9,1800.0,-189.90%,50.28%,-5.1,1.32
117,ftmusdt,15m,Up,3,5,Close,-344.49,84.07,115.44,-31.66,11,2200.0,-156.59%,30.42%,-4.1,1.03
116,ftmusdt,15m,Up,3,3,Close,-346.42,84.07,37.0,-31.66,8,1600.0,-216.52%,45.04%,-4.12,1.04
232,woousdt,15m,Any,5,3,Close,-347.07,70.86,71.28,-82.35,8,1600.0,-216.92%,62.91%,-4.9,1.16
236,woousdt,15m,Any,7,3,Close,-357.02,70.86,71.28,-82.35,8,1600.0,-223.14%,71.64%,-5.04,1.33
97,ftmusdt,15m,Any,1,5,Close,-368.22,89.66,37.88,-24.02,7,1400.0,-263.01%,16.23%,-4.11,1.0
